DOI,display_name,author_order,author_position,is_corresponding,institution_id,COUNTRY_CODE,CERCA,Center,first_name,gender
10.1016/j.lanepe.2023.100701,Αntonios Michaelakis,44.0,middle,False,4210122450.0,GR,True,CREAF,Αntonios,unknown
10.1093/ije/dyae063,Óscar J. Pozo,52.0,middle,False,,,True,ResearchMar,Óscar,male
10.1093/cid/ciac314,Íñigo González Farías,30.0,middle,False,4210130874.0,ES,True,ResearchMar,Íñigo,male
10.1016/j.aca.2024.343313,Élida Alechaga,2.0,middle,False,4210130874.0,ES,True,ResearchMar,Élida,unknown
10.1111/geb.13860,Écio Souza Diniz,3.0,middle,False,123044942.0,ES,True,CREAF,Écio,unknown
10.1016/j.agee.2023.108601,Ângela Ribas,1.0,first,False,123044942.0,ES,True,CREAF,Ângela,female
10.1016/j.envres.2021.111392,Ángela Zumel-Marne,1.0,first,False,4210154894.0,ES,True,ISGlobal,Ángela,female
10.1038/s41598-023-40838-7,Ángel Ois,2.0,middle,False,4210130874.0,ES,True,ResearchMar,Ángel,male
10.1007/s00394-020-02415-w,Álvaro Hernáez,294.0,middle,False,,,True,ResearchMar,Álvaro,male
10.1016/j.mex.2024.102969,Á. Bach,3.0,middle,False,4210148332.0,ES,True,CREAF,Á.,unknown
10.1016/j.jval.2021.03.021,Àngels Pont,4.0,middle,False,4210156109.0,ES,True,ResearchMar,Àngels,mostly_female
10.1007/s10433-023-00769-8,Àngel Lavado,1.0,first,False,4210101563.0,ES,True,ResearchMar,Àngel,unknown
10.1016/j.jpba.2021.114450,Àlex Gomez‐Gómez,1.0,first,False,4210156109.0,ES,True,ResearchMar,Àlex,unknown
10.1002/ehf2.13696,Zorba Blázquez‐Bermejo,1.0,first,True,4210130874.0,ES,True,ResearchMar,Zorba,unknown
10.1002/adfm.202106349,Zhifu Liang,1.0,first,False,4210128520.0,ES,True,ICN2,Zhifu,unknown
10.1021/acsnano.2c05733,Zhi Li,3.0,middle,False,4210093216.0,ES,True,ICN2,Zhi,andy
10.1002/ecy.4375,Zhenhong Hu,1.0,first,False,4210129656.0,ES,True,CREAF,Zhenhong,unknown
10.1016/j.ecoenv.2021.112481,Zhaoyue Chen,4.0,middle,False,4210148332.0,ES,True,ISGlobal,Zhaoyue,unknown
10.1016/j.scitotenv.2024.175708,Zhaobin Mu,1.0,first,False,4210103115.0,CN,True,CREAF,Zhaobin,unknown
10.3390/jcm12124158,Zenaida Piñeiro Agüín,11.0,middle,False,170486558.0,ES,True,ResearchMar,Zenaida,female
10.1002/qute.202000118,Zeila Zanolli,2.0,middle,False,4210130123.0,BE,True,ICN2,Zeila,unknown
10.1177/11206721221080818,Zaida Vega-Lopez,2.0,middle,False,4210111971.0,ES,True,ResearchMar,Zaida,female
10.1016/j.oneear.2023.09.007,Z. K. Zeng,1.0,first,False,4210165038.0,CN,True,CREAF,Z.,unknown
