DOI,display_name,author_order,author_position,is_corresponding,institution_id,COUNTRY_CODE,CERCA,Center,first_name,gender
10.1111/geb.13527,Yolanda Melero,2.0,middle,False,4210129656.0,ES,True,BETA,Yolanda,female
10.1111/1365-2664.13885,Xavier Puig‐Montserrat,8.0,middle,False,4210111059.0,ES,True,BETA,Xavier,male
10.3390/d14020133,Tomàs Pulido,2.0,middle,False,4210111059.0,ES,True,BETA,Tomàs,unknown
10.1007/s13399-023-03849-y,Sergio Ponsá Salas,12.0,last,False,115304662.0,ES,True,BETA,Sergio,male
10.1007/s11367-023-02168-8,Sahar Azarkamand,2.0,middle,False,115304662.0,ES,True,BETA,Sahar,female
10.3390/agronomy14050935,Rosa Vilaplana,5.0,middle,False,115304662.0,ES,True,BETA,Rosa,female
10.1016/j.heliyon.2024.e34615,Quim Zaldo-Aubanell,1.0,first,True,115304662.0,ES,True,BETA,Quim,unknown
10.1007/s13399-023-03849-y,Pablo M. Binder,1.0,first,False,115304662.0,ES,True,BETA,Pablo,male
10.3390/d15020232,Oriol Palau,2.0,last,False,4210111059.0,ES,True,BETA,Oriol,male
10.1007/s42729-022-00944-3,Omar Castaño-Sánchez,6.0,middle,False,115304662.0,ES,True,BETA,Omar,male
10.1016/j.jenvman.2022.114722,Nancy Peña,3.0,middle,False,115304662.0,ES,True,BETA,Nancy,female
10.1177/09636625221123420,Miquel Carandell Baruzzi,1.0,first,True,4210111059.0,ES,True,BETA,Miquel,male
10.1016/j.jenvman.2024.122982,Miguel Martínez-Quintela,1.0,first,False,115304662.0,ES,True,BETA,Miguel,male
10.3389/fmicb.2021.741750,Meritxell Abril,2.0,middle,False,115304662.0,ES,True,BETA,Meritxell,unknown
10.1016/j.scitotenv.2020.144473,Marta Ricart,4.0,middle,False,115304662.0,ES,True,BETA,Marta,female
10.1007/s00265-021-03002-7,Maria Mas,2.0,middle,False,4210111059.0,ES,True,BETA,Maria,female
10.1111/acv.12828,M. Aguilera,7.0,middle,False,115304662.0,ES,True,BETA,M.,unknown
10.32800/abc.2023.46.0001,M Alba,3.0,middle,False,4210100170.0,ES,True,BETA,M,unknown
10.3389/fmicb.2021.741750,Lídia Vendrell-Puigmitjà,7.0,middle,False,115304662.0,ES,True,BETA,Lídia,female
10.1007/s11356-024-34435-y,Lucie Lavergne,6.0,middle,False,115304662.0,ES,True,BETA,Lucie,female
10.1021/acsestwater.1c00192,Lorenzo Proia,7.0,middle,False,115304662.0,ES,True,BETA,Lorenzo,male
10.1111/geb.13527,Lluís Brotóns,5.0,middle,False,4210117018.0,ES,True,BETA,Lluís,unknown
10.1016/j.jenvman.2024.122982,Lidia Paredes,6.0,last,False,115304662.0,ES,True,BETA,Lidia,female
10.1080/14735903.2024.2361578,Laura Roquer‐Beni,3.0,middle,False,4210129656.0,ES,True,BETA,Laura,female
10.1016/j.spc.2021.03.021,Laia Llenas,3.0,middle,False,115304662.0,ES,True,BETA,Laia,female
