DOI,display_name,author_order,author_position,is_corresponding,institution_id,COUNTRY_CODE,CERCA,Center,first_name,gender
10.1016/j.fcr.2022.108732,Ștefania Codruța Mariș,5.0,middle,False,4210117018.0,ES,True,CTFC,Ștefania,unknown
10.1016/j.agee.2023.108601,Ângela Ribas,1.0,first,False,4210129656.0,ES,True,CTFC,Ângela,female
10.1016/j.foreco.2023.121256,Ángel Ponce,1.0,first,True,15766328.0,ES,True,CTFC,Ángel,male
10.1016/j.agrformet.2022.109022,Àngel Cunill Camprubí,4.0,middle,False,,,True,CTFC,Àngel,unknown
10.1016/j.funbio.2024.02.006,Yasmine Piñuela,1.0,first,True,2800262456.0,CH,True,CTFC,Yasmine,female
10.1016/j.foreco.2022.120674,Xavier Ramis,5.0,middle,False,15766328.0,ES,True,CTFC,Xavier,male
10.1016/j.foreco.2022.120637,Xavi Úbeda,28.0,middle,False,4210117018.0,ES,True,CTFC,Xavi,male
10.1038/s41598-021-00519-9,Xabier Cabodevilla,1.0,first,True,169108374.0,ES,True,CTFC,Xabier,male
10.1007/s11104-021-05135-0,Víctor Resco de Dios,4.0,middle,False,,,True,CTFC,Víctor,male
10.1016/j.scitotenv.2020.141943,Virgilio Hermoso,1.0,first,True,11701301.0,AU,True,CTFC,Virgilio,male
10.1080/22797254.2024.2425337,Timo Pukkala,1.0,first,True,4210117018.0,ES,True,CTFC,Timo,male
10.1016/j.agrformet.2023.109577,Teresa Valor,47.0,middle,False,4210117018.0,ES,True,CTFC,Teresa,female
10.1093/treephys/tpad147,Tatiana A. Shestakova,1.0,first,False,15766328.0,ES,True,CTFC,Tatiana,female
10.1007/s11625-022-01111-4,T. Baiges,3.0,middle,False,4210117018.0,ES,True,CTFC,T.,unknown
10.3390/f13010088,Svetlana Dashevskaya,2.0,middle,False,15766328.0,ES,True,CTFC,Svetlana,female
10.1016/j.agrformet.2020.108287,Sven Mutke,2.0,middle,False,4210117018.0,ES,True,CTFC,Sven,male
10.3390/su132111658,Siba Ghadban,1.0,first,False,15766328.0,ES,True,CTFC,Siba,unknown
10.1016/j.compenvurbsys.2023.102025,Sergio de‐Miguel,3.0,last,True,15766328.0,ES,True,CTFC,Sergio,male
10.1111/1365-2656.13433,Sergi Herrando,10.0,middle,True,1338063350.0,ES,True,CTFC,Sergi,male
10.3390/jof8050485,Sarah Boyd Lade,1.0,first,True,4210117018.0,ES,True,CTFC,Sarah,female
10.1007/s13595-021-01057-0,Ruth Delgado‐Dávila,2.0,middle,False,,,True,CTFC,Ruth,female
10.1016/j.scitotenv.2021.150308,Roser Maneja,8.0,last,False,4210117018.0,ES,True,CTFC,Roser,female
10.1016/j.agee.2023.108601,Rosa Llurba,3.0,middle,False,4210117018.0,ES,True,CTFC,Rosa,female
10.1007/s10530-023-03244-8,Robert Manzano‐Rubio,2.0,middle,False,4210117018.0,ES,True,CTFC,Robert,male
10.1016/j.fecs.2023.100107,Raúl García‐Valdés,3.0,middle,False,182083151.0,ES,True,CTFC,Raúl,male
10.1002/ecm.1596,Raquel Díaz,5.0,middle,False,4388891847.0,,True,CTFC,Raquel,female
10.3389/fmicb.2022.973483,Ran Wang,1.0,first,False,19820366.0,CN,True,CTFC,Ran,mostly_female
10.1002/ecm.1596,Ramon Amigó,2.0,middle,False,15766328.0,ES,True,CTFC,Ramon,male
10.1016/j.scitotenv.2021.150308,Quim Zaldo-Aubanell,1.0,first,True,123044942.0,ES,True,CTFC,Quim,unknown
10.1007/s13595-021-01057-0,Pere Casals,4.0,middle,False,,,True,CTFC,Pere,male
10.1007/s11625-024-01573-8,Pedro Medrado Krainovic,1.0,first,False,17974374.0,BR,True,CTFC,Pedro,male
10.1093/treephys/tpad032,Paula Martín,1.0,first,False,4210117018.0,ES,True,CTFC,Paula,female
10.1016/j.foreco.2022.120537,Pau Vericat,1.0,first,False,4210117018.0,ES,True,CTFC,Pau,male
10.3389/ffgc.2023.1071484,Olena Porkhum,7.0,middle,False,4210117018.0,ES,True,CTFC,Olena,female
10.1139/cjfr-2022-0186,Núria Aquilué,2.0,middle,False,200745827.0,CA,True,CTFC,Núria,female
10.3390/agronomy14010006,Noemí Palero,3.0,middle,False,4210117018.0,ES,True,CTFC,Noemí,female
10.1016/j.fuproc.2020.106602,Neus Puy,4.0,middle,False,4210117018.0,ES,True,CTFC,Neus,female
10.1139/cjfr-2020-0255,Mònica Aguilera,1.0,first,False,4210166174.0,ES,True,CTFC,Mònica,unknown
10.3390/f13060858,Míriam Piqué,1.0,first,True,,,True,CTFC,Míriam,unknown
10.1016/j.wasman.2023.06.005,Mireia Mora,1.0,first,True,123044942.0,ES,True,CTFC,Mireia,female
10.1007/s13595-021-01057-0,Miquel De Cáceres,3.0,middle,False,,,True,CTFC,Miquel,male
10.1186/s42408-023-00228-w,Miguel Ángel Blanco-Rodríguez,1.0,first,True,4210117018.0,ES,True,CTFC,Miguel,male
10.1111/avsc.12724,Mercedes Ibáñez,2.0,middle,False,4210117018.0,ES,True,CTFC,Mercedes,female
10.1038/s41558-023-01726-0,Marta Serra,8.0,middle,False,4210117018.0,ES,True,CTFC,Marta,female
10.1016/j.foreco.2021.119094,Mario Beltrán,5.0,middle,False,4210117018.0,ES,True,CTFC,Mario,male
10.1016/j.agee.2023.108601,Maria‐Teresa Sebastià,5.0,last,False,15766328.0,ES,True,CTFC,Maria‐Teresa,unknown
10.1139/cjz-2023-0154,Mariano J. Feldman,2.0,middle,False,122879082.0,CA,True,CTFC,Mariano,male
10.1111/1365-2745.14362,Maria Caballol,5.0,middle,False,15766328.0,ES,True,CTFC,Maria,female
10.1080/15481603.2021.1894832,Marcos Rodrígues,2.0,middle,False,15766328.0,ES,True,CTFC,Marcos,male
10.1111/1749-4877.12866,Marc Rota,5.0,middle,False,4210117018.0,ES,True,CTFC,Marc,male
10.1111/1365-2745.14433,Mara Paneghel,1.0,first,True,15766328.0,ES,True,CTFC,Mara,female
10.1016/j.foreco.2022.120526,Maitane Erdozain,4.0,middle,False,,,True,CTFC,Maitane,female
10.1016/j.jenvman.2024.120247,Magda Pla,4.0,middle,False,4210129656.0,ES,True,CTFC,Magda,female
10.1016/j.compenvurbsys.2023.102025,Luisa Velasquez-Camacho,1.0,first,True,15766328.0,ES,True,CTFC,Luisa,female
10.1016/j.foreco.2023.121475,Luis Serrano,3.0,middle,False,15766328.0,ES,True,CTFC,Luis,male
10.1111/1365-2745.14433,Lluís Coll,5.0,last,False,15766328.0,ES,True,CTFC,Lluís,unknown
10.1016/j.fgb.2024.103937,Laura Vilanova,1.0,first,False,4210117018.0,ES,True,CTFC,Laura,female
10.1016/j.jenvman.2022.116134,Lauma Elza Miezïte,1.0,first,False,15766328.0,ES,True,CTFC,Lauma,female
