DOI,display_name,author_order,author_position,is_corresponding,institution_id,COUNTRY_CODE,CERCA,Center,first_name,gender
10.1103/physreve.103.022315,√Ålvaro Corral,1.0,first,True,4210112164.0,AT,True,CRM,√Ålvaro,unknown
10.1016/j.scitotenv.2020.142344,‪Damià Barceló,24.0,last,False,251424209.0,ES,True,ICRA,‪Damià,unknown
10.5194/se-15-281-2024,Álvaro González,2.0,middle,True,4210122226.0,ES,True,CRM,Álvaro,male
10.1063/5.0234410,Àngel Jorba,1.0,first,False,4210122226.0,ES,True,CRM,Àngel,unknown
10.1137/23m1561257,Àlex Haro,2.0,middle,False,71999127.0,ES,True,CRM,Àlex,unknown
10.1002/lno.11881,Xisca Timoner,2.0,middle,False,2799562678.0,ES,True,ICRA,Xisca,unknown
10.1186/s12302-024-00938-1,Xavier García,1.0,first,False,2799562678.0,ES,True,ICRA,Xavier,male
10.1016/j.wroa.2023.100198,Wolfgang Gernjak,2.0,last,True,11932220.0,ES,True,ICRA,Wolfgang,male
10.4153/s0008439523000863,Víctor Rotger,2.0,last,False,9617848.0,ES,True,CRM,Víctor,male
10.1016/j.scitotenv.2021.150533,Victoria Osorio,1.0,first,True,2799562678.0,ES,True,ICRA,Victoria,female
10.2166/bgs.2023.005,Vicenç Acuña,1.0,first,True,2799562678.0,ES,True,ICRA,Vicenç,unknown
10.1111/fwb.14196,Ventura Campillo,3.0,middle,False,2799562678.0,ES,True,ICRA,Ventura,male
10.1007/s10711-023-00805-y,Teresa Garcı́a,1.0,first,False,4210122226.0,ES,True,CRM,Teresa,female
10.1016/j.jde.2024.08.044,Tere M. Seara,1.0,first,False,4210122226.0,ES,True,CRM,Tere,female
10.1016/j.ijheatmasstransfer.2022.123660,T.G. Myers,1.0,first,True,4210122226.0,ES,True,CRM,T.G.,unknown
10.1038/s41420-024-02184-z,Stefano Pedarra,2.0,middle,False,4210122226.0,ES,True,CRM,Stefano,male
10.1093/imrn/rnad029,Simone Marchesi,2.0,middle,False,71999127.0,ES,True,CRM,Simone,female
10.1016/b978-0-323-90178-9.00003-2,Simon Guerrero-Cruz,1.0,first,False,251424209.0,ES,True,ICRA,Simon,male
10.1007/s10113-020-01743-1,Sergi Sabater,25.0,middle,False,2799562678.0,ES,True,ICRA,Sergi,male
