DISPLAY_NAME,COUNTRY_CODE,ID
Ministerio de Economía y Competitividad,ES,12556
Generalitat de Catalunya,ES,11147
Ministerio de Ciencia e Innovación,ES,9757
Instituto de Salud Carlos III,ES,9022
Agència de Gestió d'Ajuts Universitaris i de Recerca,ES,5487
"Ministerio de Ciencia, Innovación y Universidades",ES,4648
Agencia Estatal de Investigación,ES,3402
"Ministerio de Asuntos Económicos y Transformación Digital, Gobierno de España",ES,3121
Deutsche Forschungsgemeinschaft,DE,2255
National Natural Science Foundation of China,CN,2119
National Science Foundation,US,1781
Institució Catalana de Recerca i Estudis Avançats,ES,1660
National Institutes of Health,US,1533
Federación Española de Enfermedades Raras,ES,1435
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BR,1313
Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,CH,1248
Agence Nationale de la Recherche,FR,1159
“la Caixa” Foundation,ES,1142
Fundação para a Ciência e a Tecnologia,PT,1124
Fundació la Marató de TV3,ES,1106
"Ministerio de Educación, Cultura y Deporte",ES,1059
U.S. Department of Energy,US,1003
Generalitat Valenciana,ES,960
Consejo Superior de Investigaciones Científicas,ES,942
"Secretaría de Estado de Investigación, Desarrollo e Innovación",ES,868
China Scholarship Council,CN,824
"Departament d'Innovació, Universitats i Empresa, Generalitat de Catalunya",ES,821
European Cooperation in Science and Technology,BE,800
Bundesministerium für Bildung und Forschung,DE,781
Fundación Cellex,ES,765
Australian Research Council,AU,760
Science and Technology Facilities Council,GB,752
Universitat Rovira i Virgili,ES,744
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,BR,738
Narodowe Centrum Nauki,PL,734
Universitat Autònoma de Barcelona,ES,723
Consejo Nacional de Ciencia y Tecnología,MX,711
Natural Sciences and Engineering Research Council of Canada,CA,709
Fundação de Amparo à Pesquisa do Estado de São Paulo,BR,706
Vetenskapsrådet,SE,673
Engineering and Physical Sciences Research Council,GB,623
Japan Society for the Promotion of Science,JP,616
Nederlandse Organisatie voor Wetenschappelijk Onderzoek,NL,583
Universitat de Girona,ES,563
Medical Research Council,GB,545
Centre National de la Recherche Scientifique,FR,530
Universitat de Barcelona,ES,523
Royal Society,GB,508
Alexander von Humboldt-Stiftung,DE,487
Centres de Recerca de Catalunya,ES,461
Fundación Científica Asociación Española Contra el Cáncer,ES,456
Comunidad de Madrid,ES,448
Austrian Science Fund,AT,436
Pfizer,US,434
Eusko Jaurlaritza,ES,424
Norges Forskningsråd,NO,406
National Aeronautics and Space Administration,US,401
"Ministry of Education, Culture, Sports, Science and Technology",JP,398
Academy of Finland,FI,397
"Departament de Salut, Generalitat de Catalunya",ES,395
Max-Planck-Gesellschaft,DE,394
Canadian Institutes of Health Research,CA,393
Wellcome Trust,GB,393
Instituto Nazionale di Fisica Nucleare,IT,382
Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria,ES,374
Leverhulme Trust,GB,368
Comisión Nacional de Investigación Científica y Tecnológica,CL,368
National Cancer Institute,US,364
Ministerio de Ciencia y Tecnología,ES,362
Chinese Academy of Sciences,CN,357
Agencia Nacional de Promoción Científica y Tecnológica,AR,356
National Institute for Health and Care Research,GB,354
National Research Foundation of Korea,KR,349
Fonds Wetenschappelijk Onderzoek,BE,332
AstraZeneca,GB,331
Fondo Nacional de Desarrollo Científico y Tecnológico,CL,326
Consejo Nacional de Investigaciones Científicas y Técnicas,AR,322
"Ministero dell’Istruzione, dell’Università e della Ricerca",IT,319
Novartis,CH,314
Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro,BR,310
National Health and Medical Research Council,AU,304
Ministry of Science and Technology of the People's Republic of China,CN,302
Natural Environment Research Council,GB,301
Israel Science Foundation,IL,301
Danmarks Grundforskningsfond,DK,300
Bill and Melinda Gates Foundation,US,297
Universitat Politècnica de Catalunya,ES,297
Roche,CH,293
Canada Foundation for Innovation,CA,292
Cancer Research UK,GB,292
Fundación Ramón Areces,ES,291
Knut och Alice Wallenbergs Stiftelse,SE,289
Universitat de Lleida,ES,288
