raw_affiliation,DOI
"Universitat Pompeu Fabra (UPF), Barcelona, Spain",68
"IMIM (Hospital del Mar Medical Research Institute), Barcelona, Spain",56
"ISGlobal, Barcelona, Spain",49
"Universitat Pompeu Fabra, Barcelona, Spain",41
"Department of Preventive Medicine, University of Valencia, Valencia, Spain",40
"Hospital del Mar Medical Research Institute (IMIM), Barcelona, Spain",39
"Catalan Institute of Nanoscience and Nanotechnology (ICN2), CSIC and BIST, Campus UAB, Bellaterra, 08193 Barcelona, Spain",22
"Department of Family Medicine, Research Unit, Distrito Sanitario Atención Primaria Sevilla, Sevilla, Spain",22
"Department of Medicine and Life Sciences, Universitat Pompeu Fabra, Barcelona, Spain",22
"Health Research Institute of the Balearic Islands (IdISBa), Palma de Mallorca, Spain",21
"Department of Internal Medicine, Maimonides Biomedical Research Institute of Cordoba (IMIBIC), Reina Sofia University Hospital, University of Cordoba, Cordoba, Spain",20
"CIBER Epidemiología y Salud Pública (CIBERESP), Madrid, Spain",20
"Pompeu Fabra University, Barcelona, Spain",20
"Hospital del Mar, Barcelona, Spain",19
"CIBER Diabetes y Enfermedades Metabólicas (CIBERDEM), Instituto de Salud Carlos III (ISCIII), Madrid, Spain",19
"Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS), Barcelona, Spain",19
"Department of Preventive Medicine and Public Health, University of Granada, Granada, Spain",18
"Universitat Autònoma de Barcelona, Barcelona, Spain",18
"CIBER de Epidemiología y Salud Pública (CIBERESP), Instituto de Salud Carlos III, Madrid, Spain",18
"Institute of Biomedicine (IBIOMED), University of León, León, Spain",17
"ICREA, Pg. Lluís Companys 23, 08010 Barcelona, Spain",16
"Department of Nutrition, Food Sciences, and Physiology, Center for Nutrition Research, University of Navarra, Pamplona, Spain",16
"IdiSNA, Navarra Institute for Health Research, Pamplona, Spain",15
"Department of Endocrinology and Nutrition, Instituto de Investigación Sanitaria Hospital Clínico San Carlos (IdISSC), Madrid, Spain",15
"Department of Psychiatry, Complejo Hospitalario de Navarra, Pamplona, Spain",15
"Institut d'Investigació Sanitària Pere Virgili (IISPV), Reus, Spain",14
"University of Barcelona, Barcelona, Spain",14
"Barcelona Institute for Global Health (ISGlobal), Barcelona, Spain",14
"Centro de Investigação em Saúde de Manhiça (CISM), Maputo, Mozambique",13
"Institució Catalana de Recerca i Estudis Avançats (ICREA), 08010 Barcelona, Spain",13
"Department of Preventive Medicine and Public Health, University of Navarra, Pamplona, Spain",13
"Consorcio de Investigación Biomédica en Red de Epidemiología y Salud Pública (CIBERESP), Madrid, Spain",13
"ICREA, Barcelona, Spain",13
"Hospital del Mar Research Institute, Barcelona, Spain",13
"Navarra Institute for Health Research (IdiSNA), Pamplona, Spain",12
"Department of Medicine, Universitat Autònoma de Barcelona, Barcelona, Spain",12
"Research Group on Community Nutrition & Oxidative Stress, University of Balearic Islands, Palma de Mallorca, Spain",12
"CIBER Epidemiología y Salud Pública (CIBERESP), Barcelona, Spain",12
"Universitat Autònoma de Barcelona (UAB), Barcelona, Spain",12
"Universitat de Barcelona, Barcelona, Spain",11
"Hospital General Universitario Gregorio Marañón, Madrid, Spain",11
"Pompeu Fabra University (UPF), Barcelona, Spain",11
"Division of Preventive Medicine, Faculty of Medicine, University of Jaén, Jaén, Spain",11
"Department of Medicine, University of Barcelona, Barcelona, Spain",11
"Precision Nutrition and Cardiometabolic Health Program, IMDEA Food, CEI UAM + CSIC, Madrid, Spain",11
"Centro de Investigación Biomédica en Red Fisiopatología de la Obesidad y la Nutrición (CIBEROBN), Institute of Health Carlos III, Madrid, Spain",11
"Department of Preventive Medicine, University of Granada, Granada, Spain",11
"Nutritional Control of the Epigenome Group, Precision Nutrition and Obesity Program, IMDEA Food, CEI UAM + CSIC, Madrid, Spain",10
"School of Medicine, University CEU San Pablo, Madrid, Spain",10
"Lipids and Vascular Risk Unit, Internal Medicine, Hospital Universitario de Bellvitge, Hospitalet de Llobregat, Barcelona, Spain",10
"FIDMAG Germanes Hospitalàries Research Foundation, Barcelona, Spain",10
"Centro de Investigación en Red de Enfermedades Respiratorias (CIBERES), Instituto de Salud Carlos III (ISCIII), 08003 Barcelona, Spain",10
"Department of Experimental and Health Sciences, Universitat Pompeu Fabra, Barcelona, Spain",10
"Department of Internal Medicine, IDIBAPS, Hospital Clinic, University of Barcelona, Barcelona, Spain",10
"Department of Preventive Medicine, University of Valencia, 46010 Valencia, Spain",10
"Department of Internal Medicine, Institut d'Investigacions Biomèdiques August Pi Sunyer (IDIBAPS), Hospital Clinic, University of Barcelona, Barcelona, Spain",10
"MRI Research Unit, Department of Radiology, Hospital del Mar, Barcelona, Spain",10
"Hospital Universitario de Salamanca, Salamanca, Spain",9
CIBER Epidemiología y Salud Pública (CIBERESP)  Barcelona Spain,9
IMIM (Hospital del Mar Medical Research Institute) Barcelona Spain,9
"Research Institute of Biomedical and Health Sciences (IUIBS), University of Las Palmas de Gran Canaria & Centro Hospitalario Universitario Insular Materno Infantil (CHUIMI), Canarian Health Service, Las Palmas de Gran Canaria, Spain",9
"ISGlobal, Barcelona Institute for Global Health, Barcelona, Spain",9
"Catalan Institution for Research and Advanced Studies (ICREA), Barcelona, Spain",9
"Hospital del Mar Medical Research Institute, Barcelona, Spain",9
"Catalan Institute of Nanoscience and Nanotechnology (ICN2), CSIC and BIST, Campus UAB, Bellaterra, Barcelona, 08193 Spain",9
"Department of Endocrinology and Nutrition, Instituto de Investigación Sanitaria Hospital Clínico San Carlos (IdISSC), 28040 Madrid, Spain",9
Barcelonaβeta Brain Research Center (BBRC) Pasqual Maragall Foundation Barcelona Spain,9
"ISGlobal, Hospital Clínic - Universitat de Barcelona, Barcelona, Spain",9
IMIM (Hospital del Mar Medical Research Institute)  Barcelona Spain,8
"Centro de Investigación Biomédica en Red de Salud Mental (CIBERSAM), Instituto de Salud Carlos III, Madrid, Spain",8
"Barcelonaβeta Brain Research Center (BBRC), Pasqual Maragall Foundation, Barcelona, Spain",8
"School of Medicine, Universitat Autònoma de Barcelona, Barcelona, Spain",8
"Universitat Rovira i Virgili, Departament de Bioquímica i Biotecnologia, Unitat de Nutrició Humana, Reus, Spain",8
"Department of Nutrition, Harvard T.H. Chan School of Public Health, Boston, MA, USA",8
"Department of Clinical Sciences, School of Medicine, University of Barcelona, Barcelona, Spain",8
"Nutrition Unit, University Hospital of Sant Joan de Reus, Reus, Spain",8
"Consorcio CIBER, M.P. Fisiopatología de la Obesidad y Nutrición (CIBERObn), Instituto de Salud Carlos III (ISCIII), Madrid, Spain",8
"Hospital Universitario 12 de Octubre, Madrid, Spain",8
Barcelonaβeta Brain Research Center (BBRC) Pasqual Maragall Foundation  Barcelona Spain,8
"SDHEd (Social Determinants and Health Education Research Group), IMIM (Hospital del Mar Medical Research Institute), Barcelona, Spain",8
"Department of Family Medicine, Research Unit, Distrito Sanitario Atención Primaria Sevilla, 41013 Sevilla, Spain",8
Centro de Investigación Biomédica en Red de Fragilidad y Envejecimiento Saludable (CIBERFES)  Madrid Spain,8
"Department of Clinical Foundations, Pharmacology Unit, University of Barcelona, Barcelona, Spain",8
"Centro de Investigación Biomédica en Red de Bioingeniería, Biomateriales y Nanomedicina (CIBER-BBN), Madrid, Spain",7
"Complejo Asistencial Universitario de Palencia, Palencia, Spain",7
"Department of Psychiatry, Hospital Universitario de Navarra, Pamplona, Spain",7
"Scientific and Technical Department, Hospital del Mar-IMIM, 08003 Barcelona, Spain",7
"Hospital Universitari Germans Trias i Pujol, Badalona, Spain",7
