raw_affiliation,DOI
"BiBio Research Group, Natural Sciences Museum of Granollers, C/Francesc Macià 51, E-08402 Granollers, Spain",3
"Natural Sciences Museum of Granollers, Granollers, Catalonia, Spain",3
"Natural Sciences Museum of Granollers, Granollers, Spain",3
"BiBio Research Group, Natural Sciences Museum of Granollers, Granollers, Spain",2
"BiBio Research Group, Natural Sciences Museum of Granollers, Francesc Macià 51, 08402, Granollers, Spain",2
"CERM, Center for the Study of Mediterranean Rivers, University of Vic – Central University of Catalonia (UVic-UCC), Manlleu, Spain",2
Museu de Ciències Naturals de Granollers Granollers Spain,2
"IMDEA Water Institute, Avenida Punto Com, 2, Alcalá de Henares, 28805 Madrid, Spain",2
"BETA Technological Center, University of Vic–University of Central Catalonia, Carrer de la Laura 13, 08500, Vic, Catalonia, Spain",2
"Natural Sciences Museum of Granollers, Catalonia, Spain.",2
"Department of Biogeography and Global Change (BGC-MNCN-CSIC), National Museum of Natural Sciences, C/Serrano 115 Bis, E-28006 Madrid, Spain",2
"Small Mammal Research Area and BiBio Research Group, Natural Sciences Museum of Granollers, Francesc Macià 51, 08402 Granollers, Spain",2
"Small Mammal Research Area, Natural Sciences Museum of Granollers, Francesc Macià 51, 08402, Granollers, Spain",2
"BETA Tech Center, TECNIO Network, University of Vic-Central University of Catalonia, Ctra de Roda 70, 08500 Vic, Spain",2
"BiBio Research Group, Natural Sciences Museum of Granollers, Granollers, Catalonia, Spain",2
