,raw_affiliation,DOI
0,"global change and conservation (gcc), organismal and evolutionary biology research programme, faculty of biological and environmental sciences, university of helsinki, fi-00014, helsinki, finland.",1
1,"granollers natural sciences museum, granollers, spain",1
2,"department of biogeography and global change (bgc-mncn-csic), national museum of natural sciences, csic, madrid, spain",1
3,"instituto cavanilles de biodiversidad y biología evolutiva, university of valencia, apdo, 22085, 46071, valencia, spain",1
4,"department of conservation biology, doñana biological station, csic  sevilla spain",1
5,"group of biological treatment of liquid and gaseous effluents (genocov) dept. of chemical, biological and environmental engineering, universitat autònoma de barcelona, 08193, bellaterra, barcelona, spain",1
6,"department of climate action, food and rural agenda, generalitat de catalunya, avda, alcalde rovira roure 191, 25198, lleida, spain",1
7,"group of biological treatment of liquid and gaseous effluents (genocov), dept. of chemical, biological and environmental engineering, universitat autònoma de barcelona, 08193 bellaterra, barcelona, spain",1
8,"grup de recerca fehm (freshwater ecology, hydrology and management), departament de biologia evolutiva, ecologia i ciències ambientals, institut de recerca de l'aigua (idra), universitat de barcelona, barcelona, spain",1
9,"grup de recerca en ecologia aquàtica continental (greco), departament de ciències ambientals, universitat de girona, 17071 girona, spain",1
10,"icrea, pg. lluís companys, 23, barcelona 08010, spain",1
11,"ikerbasque, basque foundation for science  bilbao spain",1
12,"department of chemistry, university of girona, maria aurèlia capmany 69, 17003 girona, spain",1
13,"irbio and department of evolutionary biology, ecology and environmental science, faculty of biology, university of barcelona, barcelona, spain",1
14,"inforest jru (ctfc-creaf), solsona, spain",1
15,inforest jru (ctfc‐creaf) solsona spain,1
16,institució catalana d'història natural  barcelona spain,1
17,"institut de recerca de la biodiversitat (irbio), universitat de barcelona barcelona spain",1
18,"department of biosciences, faculty of biomedical and health sciences, universidad europea de madrid, madrid, 28670, spain",1
19,"institut de recerca de la biodiversitat (irbio), universitat de barcelona, 08028 barcelona, spain",1
20,"department of biogeography and global change, national museum of natural sciences, csic, serrano 115 bis, 28006 madrid, spain",1
21,"institut de recerca de la biodiversitat (irbio), universitat de barcelona, barcelona, spain",1
22,"institute of aquatic ecology, university of girona, campus montilivi, 17005 girona , spain",1
23,"institute of biology and molecular genetics (ibgm), spanish council for scientific research (csic), sanz y forés str. 3, 47003 valladolid, spain",1
24,"institute of environmental assessment and water research (idaea), csic, barcelona, spain",1
25,"institute of environmental assessment and water research (idaea), csic, carrer de jordi girona, 18-26, 08034 barcelona, spain",1
26,"institute of environmental assessment and water research (idaea-csic), jordi girona, 18-26, 08034 barcelona, spain",1
27,"institute of environmental science and technology (icta), autonomous university of barcelona (uab), z building, icta-icp, carrer de les columnes, uab campus, 08193, bellaterra, barcelona, spain",1
28,"ideas medioambientales, san sebastián 19, 02005, albacete, spain",1
29,"department of crop and forest sciences and agrotecnio, university of lleida, av. rovira roure 191, 25198, lleida, spain",1
30,"department of ecology and coastal management, institute of marine sciences of andalusia (csic), campus río s. pedro, 11510, puerto real, cadiz, spain",1
31,department of ecology and evolution doñana biological station (csic)  avenida américo vespucio s/n 41092 seville spain,1
32,"department of environmental sciences, faculty of sciences, university of girona, girona, spain",1
