raw_affiliation,DOI
"Department of Crop and Forest Sciences, University of Lleida, Lleida, Spain",14
"Forest Science and Technology Centre of Catalonia (CTFC), Solsona, Spain",14
"Department of Agricultural and Forest Sciences and Engineering, University of Lleida, Lleida, Spain",13
"Department of Crop and Forest Sciences, University of Lleida, 25198 Lleida, Spain",7
"LINCGlobal, Museo Nacional de Ciencias Naturales, CSIC, Madrid, Spain",6
"Department of Chemistry, Universitat Autònoma de Barcelona (UAB), Edifici Cn, Campus de la UAB, 08193 Cerdanyola del Vallès, Barcelona, Spain",6
"Department of Crop and Forest Sciences, University of Lleida, Av. Alcalde Rovira Roure 191, E-25198 Lleida, Spain",6
"Department of Crop and Forest Sciences, University of Lleida, Av. Alcalde Rovira Roure 191, E25198 Lleida, Spain",5
"CREAF, Cerdanyola del Vallès, Spain",5
"CREAF, 08193 Cerdanyola del Vallès, Spain",5
"CSIC, 08193 Cerdanyola del Vallès, Spain",5
"Forest Science and Technology Centre of Catalonia (CTFC), Crta. Sant Llorenç de Morunys, km 2, 25280 Solsona, Lleida, Spain",4
"Forest Science and Technology Centre of Catalonia (CTFC), Crta. Sant Llorenç de Morunys km 2, 25280 Solsona, Spain",4
"Forest Science and Technology Centre of Catalonia (CTFC), 25280 Solsona, Spain",4
"Joint Research Unit CTFC - AGROTECNIO, Solsona, Spain",4
"Department of Agricultural and Forest Sciences and Engineering, University of Lleida, Av. Alcalde Rovira Roure 191, E-25198 Lleida, Spain",4
CSIC Cerdanyola del Vallès Spain,4
"Terrestrial Ecology Group (TEG-UAM), Department of Ecology, Universidad Autónoma de Madrid, Madrid, Spain",4
"Universitat Autònoma de Barcelona, E08193 Bellaterra (Cerdanyola del Vallès), Catalonia, Spain",4
"Department of Agriculture and Forest Engineering (EAGROF), University of Lleida, Lleida, Spain",4
"CTFC - Forest Science and Technology Centre of Catalonia [Solsona, Spain] (Conservation Biology Group, Landscape Dynamics and Biodiversity Program, Conservation Biology Group (GBiC), Solsona, Spain - Spain)",4
"CSIC, Cerdanyola del Vallès, Spain",4
"Catalan Institute for Water Research (ICRA), Girona, Spain",4
CTFC - Centre de Ciència i Tecnologia Forestal de Catalunya (Forest Science and Technology Centre of Catalonia\r\n25280 Solsona - Spain),3
CSIC  Cerdanyola del Vallès Spain,3
"Conservation Biology Group, Landscape Dynamics and Biodiversity Program, Forest Science and Technology Centre of Catalonia (CTFC), Solsona, Spain",3
"CREAF, E08193 Bellaterra (Cerdanyola del Vallès), Catalonia, Spain",3
"Forest Science and Technology Center of Catalonia, Ctra. de St. Llorenç de Morunys, km 2, 25280, Solsona, Spain",3
"Joint Research Unit CTFC-AGROTECNIO-CERCA, Solsona, Spain",3
"Joint Research Unit CTFC – AGROTECNIO, Solsona, Spain",3
"Joint Research Unit CTFC-AGROTECNIO, 25198 Lleida, Spain",3
"Joint Research Unit CTFC – AGROTECNIO - CERCA, Av. Alcalde Rovira Roure 191, E-25198 Lleida, Spain",3
"Group GAMES, Department of Horticulture, Botany and Landscaping, School of Agrifood and Forestry Science and Engineering, University of Lleida, Lleida, Spain",3
"Laboratory of Functional Ecology and Global Change (ECOFUN), Forest Science and Technology Centre of Catalonia (CTFC), Solsona, Spain",3
"School of Environmental Sciences, University of Liverpool, Liverpool L69 3GP, UK",3
"Department of Agricultural and Forest Engineering, University of Lleida, Alcalde Rovira Roure 191, 25198 Lleida, Spain",3
"Department of Agricultural and Forest Sciences and Engineering (DCEFA), University of Lleida, Lleida, Spain",3
"Centro de Investigación en Biodiversidad y Cambio Global (CIBC-UAM), Universidad Autónoma de Madrid, 28049 Madrid, Spain",3
"Department of Crop and Forest Science, University of Lleida, Lleida, Spain",3
"Fluvial Dynamics Research Group (RIUS), University of Lleida, Lleida, Spain",3
"Department of Geography and Land Management, University of Zaragoza, Zaragoza, Spain",3
Department of Crop and Forest Sciences University of Lleida  Lleida Spain,3
"Department of Agricultural and Forest Sciences and Engineering, University of Lleida, 25198 Lleida, Spain",3
"InForest Jru (CTFC-CREAF), Solsona 25280, Spain",3
"Ecology Department, Alicante University, Alicante, Spain",3
"Terrestrial Ecology Group (TEG-UAM), Department of Ecology, Universidad Autónoma de Madrid, 28049 Madrid, Spain",2
UAB - Universitat Autònoma de Barcelona = Autonomous University of Barcelona = Universidad Autónoma de Barcelona (UAB Campus 08193 Bellaterra Barcelona - Spain),2
"Universitat de Lleida (Pl. de Víctor Siurana, 1 - E-25003 Lleida  - Spain)",2
"Agrifood Research and Technology Centre of Aragon CITA, Zaragoza, Spain",2
"UdL-Agrotecnio - Department of Crop and Forest Sciences, School of Agrifood and Forestry Science and Engineering (ETSEA), University of Lleida-Agrotecnio Center (Spain)",2
"Terrestrial Ecology Group (TEG), Departamento de Ecología, Facultad de Ciencias, Universidad Autónoma de Madrid (UAM), 28049 Madrid, Spain",2
