,raw_affiliation,DOI
0,") forest science and technology centre of catalonia -ctfc, carretera de sant llorenç de morunys, km 2, 25280 solsona (spain);",1
1,"university of barcelona (gran via de les corts catalanes, 585, 08007 barcelona - spain)",1
2,"university pablo de olavide (ctra. de utrera, km. 1 41013, sevilla - spain)",1
3,"university institute of research in environmental sciences (iuca), university of zaragoza, zaragoza, spain",1
4,university autònoma de barcelona bellaterra spain,1
5,universitat de vic,1
6,"universitat de lleida, lleida, spain",1
7,"universitat autònoma de barcelona, e08193, bellaterra (cerdanyola del vallès), catalonia, spain",1
8,"universitat autònoma de barcelona, bellaterra (cerdanyola del vallès)  catalonia spain",1
9,"universitat autònoma de barcelona, 08193, bellaterra, spain",1
10,universitat autònoma de barcelona bellaterra (cerdanyola del vallès) catalonia e08193 spain,1
11,"universitat autònoma de barcelona (uab), cerdanyola del vallès 08193, spain",1
12,universitat autònoma de barcelona  e08193 bellaterra (cerdanyola del vallès) catalonia spain,1
13,universitad de valladolid (spain),1
14,"universidad de sevilla, departamento de biología vegetal y ecología, 41011 sevilla, spain",1
15,"universidad de málaga ‐ consejo superior de investigaciones científicas (uma‐csic) instituto de hortofruticultura subtropical y mediterránea (ihsm), “la mayora”  algarrobo‐costa (málaga) spain",1
16,"universidad de córdoba = university of córdoba [córdoba] (avd. medina azahara, 5 14071 córdoba - spain)",1
17,"ctfc, forest sciences and technology centre of catalonia, 25280, solsona, catalonia, spain",1
18,"ctfc, forest science and technology centre of catalonia, ctra. st. llorenç de morunys, km.2, e-25280 solsona, lleida, spain",1
19,ctfc centre de ciència i tecnologia forestal de catalunya solsona spain,1
20,ctfc centre tecnològic forestal de catalunya solsona spain,1
21,"university of zaragoza, department of geography and land management, zaragoza, spain",1
22,university of valladolid (spain),1
23,"university of oviedo, department of organisms and systems biology (bos; ecology unit) and research unit of biodiversity (umib; uo-csic-pa), oviedo, mieres (spain).",1
24,"university of lyon, cnrs umr 5600 evs, site ens, lyon, f-69362 france",1
25,"university of lleida, dept. of crop and forest sciences, av. rovira roure, 191, 25198, lleida, spain",1
26,"university of lleida, department of agricultural and forest engineering, lleida, spain",1
27,"university of lleida, campus de cappont, carrer de jaume ii, 73, 25001, lleida spain",1
28,"university of lleida , , lleida 25198 , spain",1
29,"university of la laguna, san cristóbal de la laguna, spain",1
30,"university of eastern finland, faculty of science, forestry and technology, joensuu, finland",1
31,"14 james hutton institute aberdeen , uk",1
32,"área de edafoloxía e química agrícola, departamento de bioloxía vexetal e ciencia do solo, facultade de ciencias, universidade de vigo, campus as lagoas, s/n 32004, ourense, spain",1
33,"center for agro-food economics and development (creda-upc-irta), parc mediterrani de la tecnologia, edifici esab, 08860, castelldefels, barcelona, spain",1
34,"catalan ornithological institute, natural history museum of barcelona, pl. leonardo da vinci 4-5, 08019 barcelona, catalonia, spain",1
35,"catalan ornithological institute, natural history museum of barcelona, barcelona, spain",1
36,"catalan ornithological institute, natural history museum of barcelona, 08019 barcelona, catalonia, spain",1
37,"catalan ornithological institute, es-08019 barcelona, spain",1
38,catalan ornithological institute natural history museum of barcelona barcelona catalonia spain,1
39,"catalan ornithological institute (ico), natural history museum of barcelona, plaça leonardo da vinci 4–5, 08019, barcelona, catalonia, spain",1
40,"catalan institution for research and advanced studies (icrea), spain",1
41,"catalan institute of agrifood research and technology (irta), spain",1
42,"catalan institute for water research icra, girona, catalonia, spain",1
43,"catalan institute for water research (icra), girona, catalonia, spain",1
44,"catalan institute for water research (icra), emili grahit 101, 17003, girona, spain",1
45,"castilla y león wood & forest services center (cesefor), pol. ind. las casas, calle c, parcela 4, 42005, soria, spain",1
46,"cartographic and geological institute of catalonia (icgc), 08038, barcelona, spain",1
47,"cancer and environmental epidemiology unit, national epidemiology centre, carlos iii health institute and centre for biomedical research in epidemiology & public health (ciber epidemiología y salud pública−ciberesp), madrid, spain",1
