raw_affiliation,DOI
"Universitat Pompeu Fabra (UPF), Barcelona, Spain",105
"ISGlobal, Barcelona, Spain",96
"Barcelona Institute for Global Health (ISGlobal), Barcelona, Spain",45
"CIBER Epidemiología y Salud Pública (CIBERESP), Madrid, Spain",34
"IMIM (Hospital del Mar Medical Research Institute), Barcelona, Spain",29
"Universitat Pompeu Fabra, Barcelona, Spain",28
"ISGlobal, Hospital Clínic - Universitat de Barcelona, Barcelona, Spain",27
"Consorcio de Investigación Biomédica en Red de Epidemiología y Salud Pública (CIBERESP), Madrid, Spain",25
"ISGlobal, Hospital Clínic, Universitat de Barcelona, Barcelona, Spain",21
"Centro de Investigação em Saúde de Manhiça (CISM), Maputo, Mozambique",20
ISGlobal - Instituto de Salud Global - Institute For Global Health [Barcelona] (Spain),20
"UPF - Universitat Pompeu Fabra [Barcelona] (Plaça de la Mercè, 10-12 - 08002 Barcelona - Spain)",17
"CIBER Epidemiología y Salud Pública (CIBERESP), Spain",16
"ISGlobal, Barcelona Institute for Global Health, Barcelona, Spain",14
"CIBERESP - Centro de Investigación Biomédica en Red de Epidemiología y Salud Pública =  Consortium for Biomedical Research of Epidemiology and Public Health (Av. Monforte de Lemos, 3-5, Pabellón 11, Planta 0 28029, Madrid - Spain)",14
"Barcelona Institute for Global Health (ISGlobal), Hospital Clínic, University of Barcelona, Barcelona, Spain",13
"ISGlobal, Hospital Clínic—Universitat de Barcelona, Barcelona, Spain",13
"University of Barcelona, Barcelona, Spain",13
"CIBER Epidemiología y Salud Pública (CIBERESP), Barcelona, Spain",13
"Centro de Investigação em Saúde de Manhiça, Maputo, Mozambique",11
"ISGlobal, Hospital Clínic – Universitat de Barcelona, Barcelona, Spain",11
"Pediatrics Department, Hospital Sant Joan de Déu, Universitat de Barcelona, Esplugues, Barcelona, Spain",11
"School of Medicine, University CEU San Pablo, Madrid, Spain",11
"Consorcio de Investigación Biomédica en Red de Epidemiología y Salud Pública, Madrid, Spain",10
"Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS), Barcelona, Spain",10
"Pompeu Fabra University, Barcelona, Spain",10
CIBER Epidemiología y Salud Pública (CIBERESP)  Barcelona Spain,10
"Institute for Global Health (ISGlobal), Barcelona, Spain",9
"Department of Medicine, Universitat Internacional de Catalunya, Barcelona, Spain",8
"Barcelona Institute for Global Health, Barcelona, Spain",8
"Hospital Universitari Germans Trias i Pujol, Badalona, Spain",8
"ISGlobal, Hospital Clínic, Universitat de Barcelona, Barcelona, Catalonia, Spain",8
"Department of Allergy and Immunology, Hospital Quironsalud Bizkaia, Bilbao, Spain",8
"Biomolecular Screening and Protein Technologies Unit, Centre for Genomic Regulation (CRG), The Barcelona Institute of Science and Technology, Barcelona, Spain",7
"Universitat Autònoma de Barcelona, Barcelona, Spain",7
"Fundacion Jimenez Diaz, CIBERES, Faculty of Medicine, Autonoma University of Madrid, Madrid, Spain",7
"Servei de Microbiologia, Hospital de la Santa Creu i Sant Pau, Barcelona, Spain",7
"Faculty of Medicine and Health Sciences, University of Barcelona, Barcelona, Spain",7
"Barcelona Institute for Global Health (ISGlobal), Hospital Clínic—University of Barcelona, 08036 Barcelona, Spain",7
"Spanish Consortium for Research on Epidemiology and Public Health (CIBERESP), Madrid, Spain",7
"Spanish Consortium for Research on Epidemiology and Public Health (CIBERESP), Instituto de Salud Carlos III, Madrid, Spain",7
"Hospital del Mar Medical Research Institute (IMIM), Barcelona, Spain",7
"CIBER de Enfermedades Infecciosas (CIBERINFEC), Barcelona, Spain",6
"Gerència Territorial Metropolitana Nord, Institut Català de la Salut, Barcelona, Spain",6
"Clinical & Experimental Respiratory Immunoallergy, IDIBAPS, CIBERES, University of Barcelona, Barcelona, Spain",6
"Spanish Consortium for Research in Epidemiology and Public Health (CIBERESP), Madrid, Spain",6
"Universitat de Barcelona, Barcelona, Spain",6
"Unitat de Suport a la Recerca de la Catalunya Central, Fundació Institut Universitari per a la recerca a l'Atenció Primària de Salut Jordi Gol i Gurina, Sant Fruitós de Bages, Spain",6
"Faculty of Health Sciences, Universitat Oberta de Catalunya, Barcelona, Spain",6
"ISGlobal, Hospital Clínic–Universitat de Barcelona, Barcelona, Spain",6
"PHAGEX Research Group, Blanquerna School of Health Science, Universitat Ramon Llull (URL), Barcelona, Spain",6
"CIBER Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, 28029 Madrid, Spain",6
"ISGlobal, Hospital Clínic-Universitat de Barcelona, 08036 Barcelona, Spain",6
"ICREA, Barcelona, Spain",6
"ICREA, Catalan Institution for Research and Advanced Studies, Barcelona, Spain",6
"Institut de Recerca Biomèdica Sant Pau, Barcelona, Spain",6
"Institut de Recerca Sant Joan de Déu, University of Barcelona, Barcelona, Spain",6
"ISGlobal, Barcelona, Spain.",6
"Medical Intensive Care Unit, Hospital Clinic, IDIBAPS, University of Barcelona, Barcelona, Spain",6
"Fight AIDS and Infectious Diseases Foundation, Badalona, Spain",6
"ISGlobal, Hospital Clínic—Universitat de Barcelona, 08036 Barcelona, Spain",6
"Department of Experimental and Health Sciences, Universitat Pompeu Fabra (UPF), Barcelona, Spain",5
"August Pi i Sunyer Biomedical Research Institute (IDIBAPS), Barcelona, Spain",5
"Department of Clinical Sciences, Faculty of Medicine, University of Barcelona, Barcelona, Spain",5
"Occupational Health Department, Hospital Clínic, Universitat de Barcelona, Barcelona, Spain",5
"CIBER de Epidemiología y Salud Pública, Instituto de Salud Carlos III, Madrid, Spain",5
"Hospital del Mar Medical Research Institute, Barcelona, Spain",5
"CIBER de Enfermedades Infecciosas, Madrid, Spain",5
"Centro de Investigación Biomédica en Red de Enfermedades Infecciosas (CIBERINFEC), Barcelona, Spain",5
"Nanoscience and Nanotechnology Institute (IN2UB), University of Barcelona, Martí i Franquès 1, 08028 Barcelona, Spain",5
"IMIM (Hospital del Mar Research Institute), Barcelona, Spain",5
"Institut d’Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS), 08036 Barcelona, Spain",5
"Barcelona Institute for Global Health (ISGlobal), 08036 Barcelona, Spain",5
