raw_affiliation,DOI
"Wetsus, European Centre of Excellence for Sustainable Water Technology, Oostergoweg 9, 8911 MA Leeuwarden, The Netherlands",76
"Wetsus, European Centre of Excellence for Sustainable Water Technology, Oostergoweg 9, 8911 MA Leeuwarden, the Netherlands",50
"Wetsus, European Centre of Excellence for Sustainable Water Technology, Leeuwarden, The Netherlands",44
"Wetsus, European Centre of Excellence for Sustainable Water Technology, Oostergoweg 9, 8911 MA, Leeuwarden, The Netherlands",25
"Department of Biotechnology, Delft University of Technology, Van der Maasweg 9, 2629 HZ Delft, The Netherlands",25
"Wetsus, European Centre of Excellence for Sustainable Water Technology, Oostergoweg 9, 8911, MA, Leeuwarden, the Netherlands",24
"Wetsus, European Centre of Excellence for Sustainable Water Technology, P.O. Box 1113, 8900 CC Leeuwarden, the Netherlands",24
"Wetsus, European Centre of Excellence for Sustainable Water Technology, Oostergoweg 9, 8911 MA, Leeuwarden, the Netherlands",23
"Wetsus, Centre of Excellence for Sustainable Water Technology, P.O. Box 1113, 8900CC Leeuwarden, The Netherlands",22
"Environmental Technology, Wageningen University & Research, P.O. Box 17, 6700 AA Wageningen, The Netherlands",22
"Department of Environmental Technology, Wageningen University and Research, P.O. Box 17, 6700AA Wageningen, The Netherlands",21
"Wetsus, European Centre of Excellence for Sustainable Water Technology, Oostergoweg 9, 8911MA Leeuwarden",18
"Paqell B.V., Reactorweg 301, 3542 AD Utrecht, The Netherlands",17
"Wetsus, European Centre of Excellence for Sustainable Water Technology, Oostergoweg 9, 8911MA Leeuwarden, the Netherlands",16
"Centre for Advanced Process Technology for Urban Resource Recovery (CAPTURE), Belgium",16
"Wetsus, European Centre of Excellence for Sustainable Water Technology, Leeuwarden, the Netherlands",15
"Environmental Technology, Wageningen University, P.O. Box 17, Wageningen, The Netherlands",15
"Wetsus, European Centre of Excellence for Sustainable Water Technology, Leeuwarden, Netherlands",15
"Environmental Technology, Wageningen University, Bornse Weilanden 9, 6708 WG Wageningen",15
"Wetsus, European Center of Excellence for Sustainable Water Technology, Oostergoweg 9, 8911 MA Leeuwarden, the Netherlands",15
"Wetsus, European Centre of Excellence for Sustainable Water Technology, Oostergoweg 9, Leeuwarden 8911 MA, the Netherlands",14
"School of Environmental Science and Engineering, Southern University of Science and Technology (SUSTech), Shenzhen 518055, China",14
"Wetsus, European Centre of Excellence for Sustainable Water Technology, P.O. Box 1113, 8900 CC Leeuwarden, The Netherlands",14
"Particle and Interfacial Technology Group (PaInT), Ghent University, Belgium",14
"P.O. Box 1113, 8900 CC Leeuwarden, the Netherlands",13
"Wetsus, European Centre of Excellence for Sustainable Water Technology, Oostergoweg 9, 8911MA, Leeuwarden, the Netherlands",13
"Department of Hydrology, Geological Survey of Denmark and Greenland, 1350 Copenhagen, Denmark",13
University of Twente,12
"Centre for Advanced Process Technology for Urban Resource Recovery (CAPTURE), Particle and Interfacial Technology Group, Ghent University, Coupure Links 653, 9000 Ghent, Belgium",12
7500 AE Enschede,12
"Environmental Technology, Wageningen University, Bornse Weilanden 9, P.O. Box 17, 6700 AA Wageningen, the Netherlands",12
"Environmental Technology, Wageningen University, Bornse Weilanden 9, 6708 WG Wageningen, The Netherlands",11
"Wetsus, European Centre of Excellence for Sustainable Water Technology, Oostergoweg 9, Leeuwarden, The Netherlands",11
"Potsdam Institute for Climate Impact Research, Member of the Leibniz Association, Potsdam, Germany",10
"Membrane Materials and Processes, Department of Chemical Engineering and Chemistry, Eindhoven University of Technology, P.O. Box 513, 5600 MB Eindhoven, The Netherlands",10
"Stockholm Resilience Centre, Stockholm University, Stockholm, Sweden",10
"Wetsus, European Centre of Excellence for Sustainable Water Technology, Oostergoweg 9, 8911, MA, Leeuwarden, The Netherlands",10
"Wetsus, European Center of Excellence for Sustainable Water Technology, 8911 MA Leeuwarden, The Netherlands",10
"Bioprocess Engineering, AlgaePARC, Wageningen University, Wageningen, the Netherlands",9
"P.O. Box 1113, 8900CC Leeuwardem, The Netherlands",9
"Department of Medical Microbiology and Infection Prevention, University Medical Center Groningen, University of Groningen, 9713, GZ, Groningen, the Netherlands.",9
"Faculty of Civil Engineering, Delft University of Technology, Stevinweg 1, 2628 CN Delft, The Netherlands",9
"Water Technology Research Group, NHL Stenden University of Applied Sciences, Rengerslaan 8-10, 8917 DD Leeuwarden, the Netherlands",9
"Wetsus, European Centre of Excellence for Sustainable Water Technology, Oostergoweg 9,\r8911MA Leeuwarden; P.O. Box 1113, 8900CC Leeuwardem, The Netherlands",9
"Wetsus, European Centre of Excellence for Sustainable Water Technology, P.O: Box 1113, 8900CC Leeuwarden, The Netherlands",8
"Department of Chemical Engineering, Delft University of Technology, Van der Maasweg 9, 2629 HZ Delft, the Netherlands",8
". Laboratory of Organic Chemistry, Wageningen University, Stippeneng 4, 6708WE Wageningen, The Netherlands",8
"Fundamental Aspects Mat & Energy Group, Delft University of Technology, Mekelweg 15, 2629 JB Delft, the Netherlands",8
"School of Ecology and Environment, Northwestern Polytechnical University, 710129 Xi'an, PR China",8
"Wetsus European Center of Excellence for Sustainable Water Technology, 8911 MA Leeuwarden, The Netherlands",8
"Environmental Technology, Wageningen University, P.O. Box 17, 6700 AA Wageningen, The Netherlands",8
"Environmental Technology, Wageningen University, Bornse Weilanden 9, 6708 Wageningen; P.O. Box 17, 6700 AA Wageningen, The Netherlands",8
"Environmental Technology, Wageningen University, Bornse Weilanden 9, 6708 Wageningen",8
"Catalan Institute for Water Research (ICRA), Emili Grahit 101, 17003 Girona, Spain",8
"Functional Traits Group, Naturalis Biodiversity Center, Darwinweg 2, 2333 CR Leiden, the Netherlands",8
"P.O. Box 17, 6700 AA Wageningen, the Netherlands",8
"P.O. Box 1113, Leeuwarden, CC 8900 The Netherlands",8
"Department of Medical Microbiology and Infection Prevention, University Medical Center Groningen, University of Groningen, 9713 GZ Groningen, The Netherlands",8
"Department of Orthopaedics, University Medical Centre Utrecht, Utrecht, the Netherlands",8
"Department of Biomedical Engineering, University of Groningen, University Medical Center Groningen, Groningen, the Netherlands",8
"Dutch Institute for Fundamental Energy Research (DIFFER), P.O. Box 6336, 5600 HH Eindhoven, The Netherlands",8
"Environmental Technology, Wageningen University & Research, P.O. Box 47, 6700 AA, Wageningen, the Netherlands",7
"Environmental Technology, Department of Agrotechnology and Food Sciences, Wageningen University, P.O. Box 17, 6700, AA, Wageningen, the Netherlands",7
"Department of Chemical and Environmental Engineering, Yale University, New Haven, Connecticut 06520-8286, United States",7
"Laboratory of Organic Chemistry, Wageningen University, Stippeneng 4, Wageningen, 6708 WE The Netherlands",7
"P.O. Box 17, Wageningen, AA 6700, The Netherlands",7
"Shenzhen Key Laboratory of Precision Measurement and Early Warning Technology for Urban Environmental Health Risks, School of Environmental Science and Engineering, Southern University of Science and Technology, Shenzhen 518055, China",7
"Waternet, PO Box 94370, 1090 GJ, Amsterdam, the Netherlands",7
"Membrane Science and Technology, University of Twente, Drienerlolaan 5, 7522 NB Enschede, the Netherlands",7
"Water Supply Sanitation and Environmental Engineering Department, IHE Delft Institute for Water Education, Westvest 7, 2611 AX Delft, The Netherlands",7
"Wageningen University & Research, Mathematical and Statistical Methods – Biometris, Droevendaalsesteeg 1, 6708 PB Wageningen, the Netherlands",7
2629 HZ Delft,6
"School of Chemical and Biological Engineering, College of Engineering, Institute of Chemical Processes, Seoul National University (SNU), 1 Gwanak-ro, Gwanak-gu, Seoul 08826, Republic of Korea",6
