raw_affiliation,DOI
"University of Girona, Girona, Spain",15
"Catalan Institute for Water Research (ICRA), Girona, Spain",6
"Departament de Matemàtiques, Universitat Autònoma de Barcelona, 08193 Bellaterra, Barcelona, Catalonia, Spain",5
"Catalan Institute for Water Research (ICRA), 17003 Girona, Spain",5
"Universitat de Girona, Girona, Spain",5
"Group of Molecular Microbial Ecology, Institute of Aquatic Ecology, University of Girona, Girona, Spain",4
"Catalan Institute for Water Research (ICRA), Emili Grahit 101, 17003 Girona, Spain",3
"Catalan Institute for Water Research (ICRA), C. Emili Grahit 101, 17003 Girona, Spain",3
"University of Girona, Plaça de Sant Domènec 3, 17004, Girona, Spain",3
"Catalan Institution for Research and Advanced Studies (ICREA), Barcelona, Spain",3
"Centre de Recerca Matemàtica, Campus de Bellaterra, Edifici C, Bellaterra 08193, Barcelona, Spain",3
"University of Girona, 17004 Girona, Spain",3
"Centre de Recerca Matemàtica, Bellaterra, Spain",3
"Departament de Matemàtiques, Universitat Autònoma de Barcelona, Bellaterra, Spain",3
"Catalan Institute for Water Research (ICRA), Carrer Emili Grahit 101, 17003 Girona, Spain",3
"ICRA-CERCA. Catalan Institute for Water Research, Emili Grahit 101, 17003, Girona, Spain",2
"ICRA - Instituto Catalán de Investigación del Agua = Catalan Institute for Water Research (H2O Building, \r\nScientific and Technological Park of the University of Girona, \r\nEmili Grahit, 101, 17003 Girona - Spain)",2
"Universitat de Girona, Plaça de Sant Domènec 3, 17004, Girona, Spain",2
"UdG - Universitat de Girona = University of Girona (Plaça Sant Domènec, 3 - Edifici Les Àligues - 17004 Girona - Spain)",2
"LEQUIA, Institute of the Environment, Universitat de Girona, C/Maria Aurèlia Capmany 69, 17003 Girona, Catalonia, Spain",2
"LEQUIA, Institute of the Environment, University of Girona, E-17071 Girona, Spain",2
"ICRA, Catalan Institute for Water Research, 17003 Girona, Spain",2
"ICRA-CERCA, Catalan Institute for Water Research, Emili Grahit 101, 17003 Girona, Spain",2
"Universitat de Girona, Plaça de Sant Domènec 3, 17004 Girona, Spain",2
"University of Girona (UDG), Girona, Spain",2
"Department of Econometrics, Statistics and Applied Economics, Riskcenter-IREA, Universitat de Barcelona, Barcelona, Spain",2
"Department of Econometrics, Statistics and Applied Economics, Riskcenter-IREA, Universitat de Barcelona (UB), Barcelona, Spain",2
"Department of Computer Science, Universitat Politècnica de Catalunya (UPC), Barcelona, Spain",2
"Department of Mathematics, School of Industrial Engineering, Universidad de Castilla-La Mancha, Albacete, Spain",2
"Department of Geography, Institute of Environment, IMA-UdG, University of Girona, 17071, Girona, Spain",2
"Department of Geography, Institute of Environment, IMA-UdG, University of Girona, 17071 Girona, Spain",2
"Forest Science and Technology Center of Catalonia, Ctra. de St. Llorenç de Morunys, km 2, 25280 Solsona, Spain",2
"ICREA, Passeig Lluís Companys 23, 08010, Barcelona, Catalonia",2
"Departament d’Estadística i Investigació Operativa, Universitat de València, València, Spain",2
"Department of Computer Science, Applied Mathematics and Statistics, Universitat de Girona, Campus de Montilivi, Girona 17071, Catalunya, Spain",2
"Department of Computer Science, Applied Mathematics and Statistics, Universitat de Girona, Campus de Montilivi, 17071 Girona, Catalunya, Spain",2
"Departament de Matemàtiques, Universitat Autònoma de Barcelona, 08193, Bellaterra, Spain",2
"Catalan Institute for Water Research (ICRA), Emili Grahit 101, Girona 17003, Spain",2
"Catalan Institute for Water Research (ICRA-CERCA), Carrer Emili Grahit 101, 17003 Girona, Spain",2
"Catalan Institute for Water Research (ICRA-CERCA), Emili Grahit 101, 17003 Girona, Spain",2
"Catalan Institute for Water Research (ICRA-CERCA), Carrer Emili Grahit 101, 17003, Girona, Spain",2
"Catalan Institute for Water Research (ICRA-CERCA), C/ Emili Grahit 101, 17003, Girona, Spain",2
"Departament de Matemàtiques, Universitat Autònoma de Barcelona, 08193 Bellaterra, Barcelona, Spain",2
"Departament de Matemàtiques, Universitat Autònoma de Barcelona, Barcelona, Catalonia, Spain",2
"Departament de Matemàtiques, Universitat Autònoma de Barcelona, Cerdanyola del Vallès, Spain",2
"Centre de Recerca Matemàtica, Campus de Bellaterra, Edifici C, 08193 Bellaterra, Barcelona, Spain",2
"Centre de Recerca Matemàtica, Edifici Cc, Campus de Bellaterra, 08193 Cerdanyola del Vallès (Barcelona), Spain",2
"Departament de Biologia Animal, Biologia Vegetal i Ecologia, Universitat Autònoma de Barcelona, Bellaterra, Spain",2
"Departament d'Enginyeria Química Biològica i Ambiental, Escola d'Enginyeria, Universitat Autònoma de Barcelona, 08193 Bellaterra, Barcelona, Spain",2
"Centre de Recerca Matemàtica, Campus de Bellaterra, 08193 Bellaterra, Barcelona, Spain",2
"Centre de Recerca Matemàtica, Edifici Cc, Campus de Bellaterra, 08193 Cerdanyola del Vallès, Barcelona, Spain",2
"Catalan Institute for Water Research (ICRA-CERCA), Emili Grahit 101, 17003, Girona, Spain",2
"Catalan Institution for Research and Advanced Studies (ICREA), Passeig lluís companys 23, 08010 Barcelona, Spain",2
"Catalan Institute for Water Research (ICRA-CERCA), Girona, Spain",2
"University of Girona, Girona, Catalonia, Spain",2
"University of Girona, Plaça de Sant Domènec 3, 17004 Girona, Spain",2
"Barcelona Supercomputing Center, 08034 Barcelona, Spain",2
