,raw_affiliation,DOI
0,"Catalan Institute for Water Research (ICRA), Emili Grahit 101, 17003, Girona, Spain",1
1," Mathematisches Institut , Georg-August Universität, Bunsenstrasse 3-5, 37073 Göttingen, Germany",1
2,") Centre de Recerca Matemàtica, Edifici Cc, Campus de Bellaterra, 08193 Cerdanyola del Vallès, Barcelona, Spain (",1
3,") Departament de Matemàtiques, Facultat de Ciències, Universitat Autònoma de Barcelona, 08193 Cerdanyola del Vallès, Barcelona, Spain",1
4,") Departament de Matemàtiques, Universitat Politècnica de Catalunya Colom 1, 08222 Terrassa, Spain",1
5,"25001 Lleida, Catalonia, Spain",1
6,"Unitat de Neurociència Traslacional, Parc Taulí Hospital Universitari, Institut d'Investigació i Innovació Parc Taulí (I3PT), Institut de Neurociències, Universitat Autònoma de Barcelona, Spain",1
7,"Unitat d‘Antropologia Biològica, Departament de Biologia Animal, Biologia Vegetal i Ecologia, Universitat Autònoma de Barcelona, Bellaterra, Catalonia, Spain",1
8,"Unitat mixta d'Investigació IRTA-UAB en Sanitat Animal, Centre de Recerca en Sanitat Animal (CReSA), Campus de la Universitat Autònoma de Barcelona (UAB), Bellaterra 08193, Catalonia, Spain",1
9,"Universidad Autónoma de Madrid 3 Departamento de Biologia , , Madrid 28049 , Spain",1
10,"Universitat Autònoma de Barcelona 1 Genomics, Bioinformatics and Evolution group, Departament de Genètica i Microbiologia , , Barcelona 08193 , Spain",1
11,"Universitat Autònoma de Barcelona, Departament de Matemàtiques, Campus de Bellaterra, Edifici C, 08193 Bellaterra (Barcelona), Spain",1
12,"Catalan Institute for Water Research (ICRA), Scientific and Technological Park of the University of Girona, H2O Building, Emili Grahit 101, 17003 Girona, Spain",1
13,"Catalan Institute for Water Research (ICRA), Spain",1
14,"Catalan Institute for Water Research (ICRA)-CERCA, C/Emili Grahit 101, 17003 Girona, Spain",1
15,"Catalan Institute for Water Research (ICRA)-CERCA, Emili Grahit 101, 17003 Girona, Spain",1
16,"Catalan Institute for Water Research (ICRA). Carrer Emili Grahit 101, 17003 Girona, Spain",1
17,"Catalan Institute for Water Research (ICRA- CERCA), Carrer Emili Grahit 101, Parc Científic I Tecnològic de la Universitat de Girona, 17003 Girona, Spain. Electronic address: afreixa@icra.cat.",1
18,"Atlantic International Research Centre (AIR Centre), 9700-702, Angra Do Heroísmo, Azores, Portugal",1
19,"University of Girona, Spain",1
20,"University of Girona. Plaça de Sant Domènec 3, 17004 Girona, Spain",1
21,"Université Clermont Auvergne, CNRS, Laboratoire de Mathématiques Blaise Pascal, F-63000 Clermont-Ferrand, France",1
22,Centre de Recerca Matemàtica  Cerdanyola del Vallès Spain,1
23,"Centre de Recerca Matemàtica (CRM) 4 , Cerdanyola del Vallès 08193 , Spain",1
24,"Centre de Recerca Matemàtica (CRM), 08193, Bellaterra, Barcelona, Spain.",1
