raw_affiliation,DOI,display_name,institution_id,COUNTRY_CODE
"Departament de Matemàtiques i Informàtica, Universitat de Barcelona, Barcelona, Spain",4,4,4,4
"Universitat de Girona, Girona, Spain",2,2,2,2
"ICREA, Pg. Lluís Companys 23, 08010, Barcelona, Spain",2,2,2,2
"UPC - Universitat Politècnica de Catalunya =  Université polytechnique de Catalogne  [Barcelona] (C./Jordi Girona, 1-3, 08034 Barcelona - Spain)",2,1,2,2
"Dep. de Matemàtiques, Univ. Politècnica de Catalunya, Av. Diagonal 647, 08028, Barcelona, Spain",1,1,1,1
"Bosch i Gimpera Foundation, University of Barcelona, Barcelona, Spain",1,1,1,1
"BCAM Basque Center of Applied Mathematics , Mazarredo Zumarkalea, 14, 48009, Bilbo, Bizkaia, Spain",1,1,1,1
"Departament de Matemàtiques (EPSEB) and Institut de Matemàtiques de la UPC (IMTech), Universitat Politècnica de Catalunya - Barcelona TECH, Av. Dr. Marañón, 44-50, Barcelona, Catalonia, 08028, Spain",1,1,1,1
"Departament de Matemàtiques i IMTECH, Universitat Politècnica de Catalunya (UPC), Barcelona, Spain",1,1,1,1
"Departament de Matemàtiques i Informàtica, Universitat de Barcelona (UB), Gran Via de les Corts Catalanes 585 , 08007, Barcelona, Spain",1,1,1,1
"Departament de Matemàtiques i Informàtica, Universitat de Barcelona (UB), Gran Via de les Corts Catalanes 585, 08007 Barcelona, Catalonia, Spain",1,1,1,1
"Departament de Matemàtiques i Informàtica, Universitat de Barcelona, Gran Via de les Corts Catalanes 585, 08007, Barcelona, Spain",1,1,1,1
"Departament d'Enginyeria Elèctrica, CITCEA-UPC, Universitat Politècnica de Catalunya - Barcelona TECH, Av. Diagonal, 647, (Edifici ETSEIB), Barcelona, Catalonia, 08028, Spain",1,1,1,1
"Departament d'Enginyeria Informàtica i Matemàtiques, Universitat Rovira i Virgili (URV), Campus Sescelades, Av. Països Catalans 26, Edifici E4, 43007 Tarragona, Catalonia, Spain",1,1,1,1
"CRM, Spain",1,1,1,1
"Departament de Matemàtiques i Informàtica, Universitat de Barcelona, Gran Via 585, 08007, Barcelona, Spain",1,1,1,1
"Departament de Matemàtiques i Informàtica, Universitat de Barcelona, Gran Via, 585, 08007, Barcelona, Spain",1,1,1,1
