,raw_affiliation,DOI
0,"mar medical research institute, upf, departament de ciències experimentals i de la salut-dcexs, barcelona, spain",1
1,"mar nursing school (esimar), parc de salut mar, university pompeu fabra, 08003 barcelona, spain",1
2,"internal medicine service, hospital clínic, university of barcelona, 08036 barcelona, spain",1
3,"mariana arcaya's research lab, department of urban studies and planning, massachusetts institute of technology, cambridge, ma 02139, usa",1
4,"mariana arcaya's research lab, department of urban studies and planning, massachusetts institute of technology, cambridge, ma, usa",1
5,"mariana arcaya’s research lab, department of urban studies and planning, massachusetts institute of technology, 77 massachusetts ave, cambridge, ma 02139, usa",1
6,"marine research institute (iim), spanish national research council (csic), vigo, spain",1
7,"institute of neuropsychiatry and addictions, hospital del mar- imim, barcelona, spain",1
8,"lung cancer and muscle research group, pulmonology department, hospital del mar-imim, parc de salut mar, 08003 barcelona, spain.",1
9,"institute of neuropsychiatry and addictions, hospital del mar-imim and department of psychiatry, autonomous university of barcelona, barcelona, spain",1
10,"lung cancer and muscle research group, pulmonology department, hospital del mar-imim, parc de salut mar, prbb, c/dr. aiguader, 88, 08003 barcelona, spain",1
11,"institute of neuropsychiatry and addictions, hospital del mar-imim and department of psychiatry, autonomous university of barcelona, barcelona, spain.",1
12,institute of mental health hospital del mar medical research institute  barcelona spain,1
13,"institute of nanoscience and nanotechnology (in2ub) universitat de barcelona  martí i franquès, 1‐11 barcelona 08028 spain",1
14,"management control department, hospital del mar, barcelona, spain",1
15,"institute of neuropsychiatry and addictions, hospital del mar- imim, pompeu i fabra university, barcelona, spain",1
16,"institute of neuropsychiatry and addictions, department of psychiatry, hospital del mar, imim (hospital del mar medical research institute), cibersam, autonomous university of barcelona, barcelona, catalonia, spain",1
17,"institute of neuropsychiatry and addictions (inad), parc de salut mar, passeig marítim, 25-29 08003, barcelona, spain",1
18,internal medicine service hospital clínic university of barcelona  barcelona spain,1
19,"management control department, hospital del mar-parc de salut mar, 08003 barcelona, spain",1
20,"management control department, hospital del mar-parc de salut mar, barcelona, spain",1
21,"institute of neuropsychiatry and addictions (inad), parc de salut mar (psmar), barcelona, spain",1
22,"management control department, hospital del mar—parc de salut mar, spain",1
23,"institute of neuropsychiatry and addictions, hospital del mar, parc de salut mar, 08003 barcelona, spain",1
24,"institute of neuropsychiatry and addiction of the barcelona mar health park, hospital del mar medical research institute (imim), barcelona, spain",1
25,"institute of neuropsychiatry and addiction (inad), parc de salut mar, barcelona, spain",1
26,"institute of neuropsychiatry and addiction of the barcelona mar health park, passeig marítim de la barceloneta, 25-29, barcelona 08003, spain",1
27,"mar institute of medical research (imim), parc de salut mar, barcelona, spain",1
28,"internal medicine service, complejo hospitalario de navarra, pamplona, spain",1
29,"institute of neuropsychiatry and addictions, hospital del mar, parc de salut mar, barcelona, spain",1
30,"institute of neuropsychiatry and addiction, parc de salut mar, premia de mar, spain",1
31,"mary mackillop institute for health research, australian catholic university, melbourne, victoria, australia",1
32,"institute of neuropsychiatry and addictions (inad), parc de salut mar, barcelona, spain",1
33,management and control department consorci mar parc de salut de barcelona  barcelona spain,1
