raw_affiliation,DOI
"Hospital del Mar, Barcelona, Spain",41
"Hospital Universitario 12 de Octubre, Madrid, Spain",13
"Department of Dermatology, Hospital del Mar, Barcelona, Spain",13
"Hospital Universitario Central de Asturias, Oviedo, Spain",12
"Medical Oncology Department, Hospital del Mar, Barcelona, Spain",11
"Department of Dermatology, Hospital del Mar-Parc de Salut Mar, Barcelona, Spain",11
"Hospital de la Santa Creu i Sant Pau, Barcelona, Spain",11
"Hospital Universitario Son Espases, Palma de Mallorca, Spain",10
"Barcelonaβeta Brain Research Center (BBRC), Pasqual Maragall Foundation, Barcelona, Spain",10
"Hospital Arnau de Vilanova, Valencia, Spain",10
"Universitat Pompeu Fabra, Barcelona, Spain",10
"Nephrology Department, Hospital del Mar, Barcelona, Spain",9
"Hospital del Mar Research Institute, Barcelona, Spain",9
"Hospital Universitario La Princesa, Madrid, Spain",9
"Department of Nephrology, Hospital del Mar, Barcelona, Spain",9
"Department of Preventive Medicine, University of Valencia, Valencia, Spain",8
"Servicio de Nefrología, Hospital del Mar, Barcelona, Spain",8
"Hospital Universitario Virgen Macarena, Sevilla, Spain",8
"Department of Dermatology, Hospital Universitario 12 de Octubre, Madrid, Spain",8
"Complejo Hospitalario de Navarra, Pamplona, Spain",8
"Hospital Universitario Puerta de Hierro, Madrid, Spain",8
"Hospital Universitario La Fe, Valencia, Spain",8
"Hospital Universitario de la Princesa, Madrid, Spain",7
"Pathology Department, Hospital del Mar, Barcelona, Spain",7
Hospital del Mar,7
"Department of Hematology, Hospital del Mar, Barcelona, Spain",7
"Hospital Universitario de Burgos, Burgos, Spain",6
"Centro de Investigación Biomédica en Red de Enfermedades Cardiovasculares (CIBERCV), Spain",6
"Hospital Universitario Infanta Leonor, Madrid, Spain",6
"Hospital Universitario de Guadalajara, Guadalajara, Spain",6
"Hospital General Universitario Gregorio Marañón, Madrid, Spain",6
"Hospital Ruber Internacional, Madrid, Spain",6
"Department of Surgery, Hospital del Mar, Barcelona, Spain",6
"Department of Dermatology, Hospital de la Santa Creu i Sant Pau, Barcelona, Spain",6
"Hospital General Universitario de Elche, Elche, Spain",5
"Servicio de Dermatología, Hospital del Mar, Barcelona, España",5
"Complejo Asistencial Universitario de Burgos, Burgos, Spain",5
"Hospital del Mar, 08003 Barcelona, Spain",5
"Hospital de Sant Pau, Barcelona, Spain",5
"Hospital Da Costa, Burela, Lugo, Spain",5
"Hospital Universitario Clínico San Carlos, Madrid, Spain",5
"Hospital Clinic de Barcelona, Barcelona, Spain",5
"Hospital Universitario de Salamanca, Salamanca, Spain",5
"Hospital Universitario La Paz, Madrid, Spain",5
"Hospital Universitario Lucus Augusti, Lugo, Spain",5
"Medical Oncology Department, Hospital Universitario Central de Asturias, ISPA, Oviedo, Spain",5
"Hospital Universitario Marqués de Valdecilla, Santander, Spain",5
"Department of Dermatology, Hospital General Universitario de Valencia, Valencia, Spain",5
"Spine Center, Hospital Del Mar, Barcelona, Spain",5
"Department of Nephrology, Hospital Universitario 12 de Octubre, Madrid, Spain",5
"Hospital del Mar, Barcelona, España",5
"Complejo Hospitalario Universitario de Orense (CHUO), Orense, Spain",5
"Hospital del Mar, Barcelona, Spain.",5
"Complejo Hospitalario Universitario de Pontevedra (CHOP), Pontevedra, Spain",5
"Instituto Hospital del Mar de Investigaciones Médicas (IMIM), Barcelona, Spain",5
"Complejo Hospitalario de Toledo, Toledo, Spain",5
"Hospital Clínico San Carlos, Madrid, Spain",5
"Nephrology Department, Hospital del Mar, 08003 Barcelona, Spain",4
"Department of Gastroenterology, Hospital del Mar, Barcelona, Spain",4
"Hospital Universitario de Cruces, Barakaldo, Spain",4
Department of Dermatology Complejo Asistencial Universitario de León  León Spain,4
"Hospital Universitario de Cruces, Bilbao, Spain",4
"Medical Oncology Department, Hospital Universitario Marqués de Valdecilla, IDIVAL, Santander, Spain",4
"Department of Hematology, Hospital del Mar, 08003 Barcelona, Spain",4
Rheumatology,4
"Pharmacy Department, Hospital del Mar, Barcelona, Spain",4
"Hospital Clínic de Barcelona, Barcelona, Spain",4
"Department of Radiology, Hospital del Mar, Barcelona, Spain",4
"Medical Oncology Department, Hospital Universitario El Mar, Barcelona, Spain",4
"Hospital General de Segovia, Segovia, Spain",4
"Hospital Rey Juan Carlos, Madrid, Spain",4
Hospital de Cabueñes  Gijón Spain,4
"Dermatology Department, Complejo Hospitalario Universitario de Toledo, Toledo, Spain",4
"Hospital Universitario de Basurto, Bilbao, Spain",4
"Department of Dermatology, Hospital Universitario de Guadalajara, Guadalajara, Spain",4
"Hospital de Galdakao, Galdakao, Spain",4
"Department of Rheumatology, Hospital del Mar, Barcelona, Spain",4
"Dermatology Department, Hospital Universitario de Guadalajara, Guadalajara, Spain",4
"Department of Dermatology, Hospital Universitario de Fuenlabrada, Fuenlabrada, Spain",4
"Hospital Universitario Virgen del Rocío, Sevilla, Spain",4
"Department of Pathology, Hospital del Mar, Barcelona, Spain",4
"Hospital Universitario Ramón y Cajal, Madrid, Spain",4
"Department of Didactics of Language, Arts and Physical Education, Universidad Complutense de Madrid, 28040 Madrid, Spain",4
"Medical Oncology Department, Hospital Universitario de Canarias, Tenerife, Spain",4
"Karolinska Institutet, Centre for Psychiatric Research and Education, Department of Clinical Neuroscience, Stockholm, Sweden",4
"Hospital Universitario Donostia, San Sebastián, Spain",4
"Consortium for Biomedical Research in Epidemiology and Public Health (CIBERESP), Madrid, Spain",4
"Department of Pulmonary Medicine, Hospital del Mar, Barcelona, Spain",4
"Institut d'Investigació Sanitària Pere Virgili (IISPV), Reus, Spain",4
"Department of Endocrinology and Nutrition, Instituto de Investigación Sanitaria Hospital Clínico San Carlos (IdISSC), Madrid, Spain",4
"Complejo Asistencial Universitario de León, León, Spain",4
"Hospital Infanta Sofía, Madrid, Spain",4
"Hospital Miguel Servet, Zaragoza, Spain",4
"Dermatology Department, Hospital Universitario 12 de Octubre, Madrid, Spain",4
"Centro de Investigación Biomédica en Red Fisiopatología de la Obesidad y la Nutrición (CIBEROBN), Institute of Health Carlos III, 28029 Madrid, Spain",4
"Hepatobiliary and Pancreatic Surgery Unit, Hospital del Mar. Universitat Pompeu Fabra, Barcelona, Spain",4
"Medical Oncology Department, Hospital General Universitario de Elche, Elche, Spain",4
"Hospital La Paz, Madrid, Spain",4
"Medical Oncology Department, Hospital General Universitario de Ciudad Real, Ciudad Real, Spain",4
"Colorectal Surgery, Vall d'Hebron University Hospital, Barcelona, Spain",4
"CIBER Diabetes y Enfermedades Metabólicas (CIBERDEM), Instituto de Salud Carlos III (ISCIII), Madrid, Spain",4
"Department of Orthopedics, Hospital del Mar, Parc de Salut Mar, Passeig Marítim 25-29, 08003, Barcelona, Spain",4
"Hospital Manises, Valencia, Spain",4
"Hospital Universitari Mutua de Terrassa, Terrassa, Barcelona, Spain",4
"University of Navarra, Mind-Brain Group, Institute for Culture and Society (ICS), Pamplona, Spain",4
"Complexo Universitario Hospitalario Pontevedra, Pontevedra, Spain",4
"University of Southampton, Centre for Innovation in Mental Health, Southampton, United Kingdom",4
"Department of Dermatology, Hospital Universitario San Cecilio, Granada, Spain",4
"Department of Medicine and Life Sciences, Universitat Pompeu Fabra, Barcelona, Spain",3
Hospital Universitario de Canarias,3
"Hospital Clínico Universitario Virgen de la Arrixaca, Murcia, Spain",3
"IMIM (Hospital Del Mar Medical Research Institute), Barcelona, Spain",3
"Hematology and Medical Oncology Department, Hospital Universitario Morales Meseguer, University of Murcia, IMIB, Murcia, Spain",3
"Complejo Hospitalario Universitario de Santiago, Santiago de Compostela, Spain",3
"Health Research Institute of the Balearic Islands (IdISBa), 07120 Palma de Mallorca, Spain",3
"Hospital Universitario Doce de Octubre, Madrid, Spain",3
"Servicio de Reumatología, Hospital del Mar, Barcelona, Spain",3
"Rheumatology Department, Hospital del Mar, Barcelona, Spain",3
"Dermatology Department, Hospital Universitario de Fuenlabrada, Madrid, Spain",3
"Hospital de Bellvitge, Barcelona, Spain",3
"Department of Obstetrics and Gynecology, Del Mar University Hospital, Barcelona, Spain",3
"Department of Dermatology, Complejo Hospitalario de Toledo, Toledo, Spain",3
"Department of Dermatology, Complejo Hospitalario de Navarra, Pamplona, Spain",3
"Hospital Universitario de Mostoles, Madrid, Spain",3
"Department of Nephrology, Hospital Universitario Puerta del Mar, Cádiz, Spain",3
"Fundación Hospital de Alcorcón, Madrid, Spain",3
"Geriatrics Department, Hospital Universitario de Getafe, Madrid, Spain",3
"Hospital Arnau de Vilanova, Lleida, Spain",3
"Health Services Research Group, Hospital del Mar Research Institute, Barcelona, Spain",3
"Department of Dermatology, Complejo Hospitalario Universitario de Toledo, Toledo, Spain",3
"Dermatology Department, Complejo Hospitalario de Navarra, Pamplona, Spain",3
"Servicio de Cardiología, Hospital Universitario La Paz, Madrid, España",3
"Rheumatology Department, Hospital Universitario Central de Asturias, Oviedo, Spain",3
"Hospital Clínico Universitario de Valladolid, Valladolid, Spain",3
"Hospital Clínico Universitario de Valencia, Valencia, Spain",3
"Medical Oncology Department, Hospital Universitario 12 de Octubre, Madrid, Spain",3
"Complejo Hospitalario Universitario de Guadalajara, Guadalajara, Spain",3
